Mx_name,Mname,Mx_count,Mx_energy,Mx_M,MxNy_name,MxNy_count,MxNy_energy,MxNy_M,MxNy_N,MxOy_name,MxOy_count,MxOy_energy,MxOy_M,MxOy_O,MxHy_name,MxHy_count,MxHy_energy,MxHy_M,MxHy_H,MxOyHz_name,MxOyHz_count,MxOyHz_energy,MxOyHz_M,MxOyHz_O,MxOyHz_H,MxCyOz_name,MxCyOz_count,MxCyOz_energy,MxCyOz_M,MxCyOz_C,MxCyOz_O,MxFy_name,MxFy_count,MxFy_energy,MxFy_M,MxFy_F,Nitride Formation Energy,Hydride Formation Energy,Oxide Formation Energy,MxOyHz Formation Energy,MxCyOz Formation Energy,MxFy Formation Energy,MxOyHz Reaction,MxOy Reaction,MxHy Reaction,Mx Reaction,MN3 Formation Energy,M3N Formation Energy,N_energy,N2_energy,NH2_energy,NH3_energy,V SHE,Dissociation
Sc2,Sc,2,-8.756262691909942,2,Sc4N4,8,-64.38260054236063,4,4,Sc32O48,80,-653.3988300936492,32,48,Sc4H8,12.0,-51.473153095165465,4.0,8.0,Sc4H4O8,16.0,-111.00265111349962,4.0,8.0,4.0,Sc6C3O3,12.0,-89.49110459489205,6.0,3.0,3.0,Sc3F9,12.0,-74.97040273938515,3.0,9.0,-1.7287629580804058,-0.5837463172328654,-1.9613143997517277,-1.2883360793903424,-1.5773213039854148,-1.8800749172629754,-2.4952930633778543,-36.56823674085105,0.9068123024849193,2.6580512541835146,1.8541719625862978,-0.3447877515551703,-2.2522409572517867,-1.3036894709697737,-2.102205520519478,-1.411232090534714,-2.077,False
K20,K,20,-22.111162135872707,20,K4N12,16,-103.97404709737276,4,12,K8O4,12,-39.776085130044194,8,4,K4H4,8.0,-19.172603938746366,4.0,4.0,K4H4O4,12.0,-52.92650604228749,4.0,4.0,4.0,K8C4O12,24.0,-145.152349172843,8.0,4.0,12.0,K2F4,6.0,-19.714933924761265,2.0,4.0,-0.02699376178160673,-0.15906694491202833,-0.10268033517631518,-0.44391511743816875,-0.7437371103980116,-0.008035567094589524,-1.2073980970399905,-0.8661633147781362,-0.8695276095431742,-0.7634829796018231,-0.6527630377077771,2.471348734211693,2.13834267745064,0.05283447440514344,-0.6666600498421245,-1.017879842604561,-2.931,False
Ag9,Ag,9,-21.30891323366594,9,Ag4N12,16,-96.92340378780831,4,12,Ag4O4,8,-29.766908209742887,4,4,Ag2H2,4.0,-10.407018010703615,2.0,2.0,Ag4H4O8,16.0,-68.49463190120633,4.0,8.0,4.0,Ag4C2O6,12.0,-65.77894782429497,4.0,2.0,6.0,Ag2F4,6.0,-18.12093914229594,2.0,4.0,0.7291961748584832,0.26680350433998723,1.1753970184609965,0.8657965413799658,0.24339809283561534,0.6783298697060474,-0.6173408399486556,-0.9881382161479463,-1.6828017270086137,-1.7717362284552747,8.849801067819875,3.817985582454991,3.1400537479281914,0.026344183272298594,0.7235912442953039,-0.7945711762841832,0.7996,False
Au4,Au,4,-10.387077998355615,4,Au2N4,6,-35.42132503995346,2,4,Au16O24,40,-158.01897978794418,16,24,,,,,,Au2H2O4,8.0,-34.187575864861024,2.0,4.0,2.0,,,,,,,Au6F16,22.0,-62.44859771340301,6.0,16.0,0.4686975755203087,,1.5431517431738562,0.9305421705042387,,1.0433834781161926,0.35856331575071465,13.928996406480799,,-1.5025210252577592,12.729245706284464,4.3460952263249,2.944929900915162,0.017744737809065825,0.8099228759962402,-0.7791051357363905,1.52,False
Ta2,Ta,2,-18.776078873923094,2,Ta3N3,6,-58.78472061858225,3,3,Ta4O10,14,-125.33582554852224,4,10,Ta4H8,12.0,-64.52343025367247,4.0,8.0,Ta8H8O24,40.0,-306.9909908967488,8.0,24.0,8.0,,,,,,,Ta8F40,48.0,-292.67307959887233,8.0,40.0,-0.9734372812124134,-0.0013000501062574443,-0.9667876547662664,-0.6683566493757318,,-0.8960983545232372,-7.764022091228912,-3.3642758217950433,1.142199700022499,1.1473999004475275,7.7904692934079165,3.3860115507977344,-2.033278905660482,-0.27668168466118637,-1.7385746927584638,-1.3613289880109711,-0.6,True
Mo2,Mo,2,-21.392002847959176,2,Mo8N8,16,-155.33706203176266,8,8,Mo2O4,6,-51.749069927458045,2,4,Mo2H2,4.0,-25.953497156217725,2.0,2.0,Mo16H64O80,160.0,-993.6705222283356,16.0,80.0,64.0,Mo4C24O24,52.0,-415.7806638921823,4.0,24.0,24.0,Mo6F18,24.0,-146.47987047439597,6.0,18.0,-0.23056922825818393,0.5443559169698124,-0.10960180431992346,-0.08062499460416248,-0.3584802158762693,-0.1564017725745573,-1.950836097544176,-0.4205375587008717,-0.06615824697602513,-0.3383362054609318,9.037550735987473,2.9938329617919823,-1.4540206248074279,-0.38192285108167034,-1.0178418512864935,-1.3181401594345097,-0.15,True
Ni4,Ni,4,-27.18962631772978,4,Ni6N2,8,-55.61267913646496,6,2,Ni4O4,8,-50.156541509999954,4,4,Ni4H4,8.0,-40.12189050727766,4.0,4.0,NiH2O2,5.0,-27.18824368676018,1.0,2.0,2.0,Ni6C6O18,30.0,-213.49335495976516,6.0,6.0,18.0,Ni2F4,6.0,-29.844988409236144,2.0,4.0,0.21146826088480752,0.06819647034096432,0.8415676326636441,0.2395617991199451,0.1659458340080671,0.20090484303920006,-1.046443207716667,1.7209228251380493,-1.3725618241526734,-1.6453477055165253,10.072527913338085,3.1192503894371217,-0.09558303392769663,-0.5986843273692859,-0.4924632304525458,-0.241605627387262,-0.25,True
Ca2,Ca,2,-3.6923938027145544,2,Ca48N32,80,-401.8855084781526,48,32,Ca4O4,8,-49.64376068000794,4,4,Ca4H8,12.0,-40.002862829690415,4.0,8.0,CaH2O2,5.0,-27.550357903147344,1.0,2.0,2.0,Ca6C6O18,30.0,-219.63205526040954,6.0,6.0,18.0,Ca4F8,12.0,-66.30149815736031,4.0,8.0,-0.611853565772791,-0.4718669433091757,-1.5699396026249373,-0.8231029797725207,-1.0289194449617796,-2.0004584945598576,0.6015494118652231,0.3376743517984435,0.5532091487137363,0.7301592524546772,1.1944069567488445,0.6167483567863883,-1.7177205492481642,-1.4157655091951558,-1.840067849801665,-1.47115471203006,-2.868,True
Fe2,Fe,2,-17.157609778594082,2,Fe4N4,8,-66.26794419948313,4,4,Fe12O18,30,-223.94716788152058,12,18,Fe4H4,8.0,-46.98178172258109,4.0,4.0,Fe4H4O8,16.0,-103.33990072354729,4.0,8.0,4.0,,,,,,,Fe2F4,6.0,-35.054070762205704,2.0,4.0,0.13590585645031794,0.10140922336033409,0.42153479770503,0.2407542058171952,,-0.0734761125008608,-0.1082695516091512,2.0902246079097786,-0.8684679281572656,-1.0712863748779329,9.939691388638806,2.949924212717084,-1.7200313404539296,0.12386072712339846,0.8102010747419515,-0.7403069086285008,-0.44,True
W2,W,2,-22.08116988474871,2,W8N12,20,-192.79829692057012,8,12,W2O6,8,-68.51592476542851,2,6,W2H8,10.0,-46.79771260979567,2.0,8.0,W4H8O16,28.0,-194.88416578249647,4.0,16.0,8.0,W4C6O6,16.0,-129.07351178603525,4.0,6.0,6.0,W2F8,10.0,-56.75394731585881,2.0,8.0,-0.2676851449941381,0.22391291795042392,-0.2356963125388507,-0.1774403247903759,0.22985935788354128,0.023843118610281523,-0.7673601781646097,-0.5104636286796355,-0.16673865536171442,-0.3533327536537338,10.910375697050426,5.041084658003976,-1.6714550652357199,-0.4274706328230895,-1.215948582687548,-1.4307984194579753,-0.12,True
